 Z            W           
         -0.3 -1.7072706586
         -0.3 -1.6283255356
         -0.3 -1.5954814914
         -0.3 -1.4232667046
         -0.3 -1.3403761259
         -0.3 -1.2535074671
         -0.3 -1.2263365925
 -1.2781054368 -1.0781054368
 -1.2074502609 -1.0074502609
 -1.0908021476 -0.8908021476
 -0.89361385443 -0.69361385443
 -0.86136275986 -0.66136275986
 -0.85347279793 -0.65347279793
 -0.62025361947 -0.42025361947
 -0.59968925323 -0.39968925323
 -0.56439342298 -0.36439342298
 -0.56029760908 -0.36029760908
 -0.50984838554 -0.30984838554
 -0.50887940173 -0.30887940173
 -0.3726054051 -0.1726054051
 -0.34450388914 -0.14450388914
 -0.26297526449 -0.062975264489
 -0.16469235869 0.035307641313
 -0.11657610959 0.083423890411
 -0.079589549502 0.1204104505
 0.097447084426 0.29744708443
 0.16505466586 0.36505466586
 0.20754491736 0.40754491736
 0.26483959942 0.46483959942
 0.27179946089 0.47179946089
 0.35725165326 0.55725165326
 0.3980340621 0.5980340621
 0.45206537251 0.65206537251
            5 0.69565105438
 0.60008800341 0.80008800341
 0.69245162796 0.89245162796
         -0.3          0.9
         -0.3          0.9
         -0.3          0.9
 0.76495911007 0.96495911007
 0.77437264608 0.97437264608
          0.6  1.057908833
          0.6  1.097358588
 0.94148058991 1.1414805899
 0.98344741115 1.1834474111
 1.1695294739 1.3695294739
 1.2468418149 1.4468418149
          1.7 1.4789824069
            4 1.5006604232
            3            5
