CaseID,x,y,color,degree,prominence,clustering,neighbors,closeness,betweenness
Valjean,0.5081479768525253,0.24955335391469832,NaN,36,0.2676065792424411,0.12063492063492064,7.527777777777778,0.6440677960643494,0.5699890527836186
Myriel,0.12051314321085259,0.4997511042020265,3,10,0.02813250546626192,0.06666666666666667,4.9,0.4293785308308596,0.176842105263158
Gavroche,0.6953756676434623,0.26855165401407644,NaN,22,0.317841260352212,0.354978354978355,11.545454545454545,0.5135135131665449,0.1651125024258478
Marius,0.6789333820006367,0.19218250096585196,1,19,0.2591130576727194,0.3333333333333333,11.894736842105264,0.5314685310968752,0.13203248862194603
Fantine,0.5544985329964841,0.08918087463872675,2,15,0.08975176337022336,0.3142857142857143,9.8,0.46060606032690543,0.12964454098819425
Thenardier,0.6271161046384603,0.18046347627638756,NaN,16,0.18779932238051114,0.4083333333333333,12.1875,0.5170068023693831,0.0749012212342423
Javert,0.5585246818825943,0.2129166321228859,NaN,17,0.18421638002405394,0.3235294117647059,11.117647058823529,0.5170068023693831,0.054331559664784354
MlleGillenormand,0.6644160671155186,0.10711990839755808,NaN,7,0.063166971551186,0.42857142857142855,11.428571428571429,0.44186046485938346,0.047598927875243655
Enjolras,0.669195349322043,0.24841925497769804,1,15,0.26718344911122494,0.6095238095238096,14.2,0.48101265792340975,0.04255335682217707
Tholomyes,0.5988869265911644,0.041367160087299445,2,9,0.04814316146463454,0.6111111111111112,9.666666666666666,0.3917525771176533,0.04062934817733579
Bossuet,0.7016537520450558,0.25220605213906383,1,13,0.24213715106699749,0.7692307692307693,14.461538461538462,0.474999999703125,0.030753650179957806
MmeThenardier,0.5933397227769861,0.1593993757934729,NaN,11,0.12227469549040279,0.4909090909090909,12.818181818181818,0.46060606032690543,0.029002418730461763
Mabeuf,0.734687476808918,0.2255183236781295,1,11,0.19503432282127037,0.6909090909090909,12.727272727272727,0.3958333331271702,0.02766123642439431
Fauchelevent,0.40192030744979307,0.21448431234833046,NaN,4,0.040046125773010664,0.3333333333333333,14,0.4021164019036421,0.026491228070175427
MmeBurgon,0.8864858089816181,0.41494443769748834,1,2,0.02665902999006719,0,11.5,0.34389140255932515,0.026315789473684202
Cosette,0.5957572467679421,0.14845737356262234,NaN,11,0.11103162121161561,0.38181818181818183,12,0.4779874210830268,0.02379625345414819
Gillenormand,0.6424384907174551,0.1249720289812893,NaN,7,0.06539515916467349,0.47619047619047616,11.571428571428571,0.44186046485938346,0.020210621583197773
Eponine,0.6579725573015118,0.2146892276954004,NaN,11,0.14193442683638638,0.45454545454545453,10.818181818181818,0.3958333331271702,0.011487550654163006
Simplice,0.5038490785347505,0.11287796958138925,2,4,0.046051769440845006,0.6666666666666666,17.5,0.4175824173529767,0.008640295033483885
Bamatabois,0.4750599882217863,0.19184502140903045,NaN,8,0.06227008928901924,0.6428571428571429,12.25,0.42696629189496277,0.008040935672514618
Pontmercy,0.7177239613896437,0.10288708183107999,NaN,3,0.037926209174354915,0.3333333333333333,12.333333333333334,0.37254901942522106,0.006925438596491227
Courfeyrac,0.6961825386934601,0.22580339504062855,1,13,0.23247434003543,0.7564102564102564,12.538461538461538,0.3999999997894737,0.005267029881988331
Babet,0.6124321163764991,0.23448510339696904,NaN,10,0.14542466517305977,0.8,14.9,0.4634146338637716,0.004960383978389515
Gueulemer,0.6046150852622731,0.2103301793675841,NaN,10,0.14542466517305977,0.8,14.9,0.4634146338637716,0.004960383978389515
Claquesous,0.6014830073048096,0.23278145599772457,NaN,10,0.14152963474728245,0.7111111111111111,14.2,0.452380952111678,0.004861804195599205
Montparnasse,0.6064533591927829,0.23798681392839732,NaN,9,0.13602308133888885,0.8333333333333334,15.444444444444445,0.45783132502540286,0.0038738298738298705
