case name a
1 001 "000000010000000000000000000000000001000100000000000000000000000000001010000000000000000000000000001010000000000000000000000000111101000000000000000000000001010100000000000000000000000111101000000000000000000000101000001000000000000000001110001000000000000011110000000100000000000000000101100110000000000000001000101000000000000000000101000000000000000001000000000000000001100000000000000000101000000101000000111111110101000000100000100000000111111010000000000000110000000000000000000000000000000000000000000000000000000000000010000000100000000000000001010100111"
2 235 "100000000000000000000000000000000100000000000000000000000000000001000000000000000000000000000000001000000000000000000000000000100000000000000000000000000001000000000000000000000000000000000100000000000000000000100000000000000000000000000100000000000000000000000100000000000000000000000100000000000000000000000000010000000000000000100000000000000000000000000000000010000001000000000000000000100000000000000000100000000000000001000000000000000100001000000000100000000000001100000000000000000000000100000000000000000000100000000100000001000000110000000001000100101"
3 113 "100000000000000000000000000000000100000000000000000000000000000001000000000000000000000000000000100000000000000000000000000000100000000000000000000000000001000000000000000000000000000100000000000000000000000000010000000000000000000000001000000000000000000000000100000000000000000000000100000001000000000000001000000000000000000000110000000000000000000000000000000000000001000000000000000000100000000000000000110000000000000000000000000000000000000000000000100100000000001000000000000100000000000010000000000100100000010000000010000000000000000000100001100000101"
4 335 "100000000000000000000000000000000100000000000000000000000000000001000000000000000000000000000000100000000000000000000000000000010000000000000000000000000001000000000000000000000000000100000000000000000000000000100001000000000000000000001000000000000000000000000001000000000000000000000100000000000000000000001000000000000000000000010000000000000000000000010000000000000001000000000000000000100000000000000000100010000000000000100000000000000000000010000000100000000000000000000000000100000000000100000000001100000000000000000000000001000000110000011000010000001"
5 321 "100000000000000000000000000000000100000000000000000000000000000000010000000000000000000000000000100000000000000000000000000000010000000000000000000000000000100000000000000000000000000100000000000000000000000000100000000000000000000000000000100000000000000000000010000000000000000000000010000000000000000000000010000000000000000000010000000000000000000000000000001000000000100000000000000000100000000000000000000100000000000001000000000000000100000000000000100000000000001000000000000100000000000100000000001000000000100000000100000001100000000000100001000100101"
6 435 "010000000000000000000000000000000100000000000000000000000000000001000000000000000000000000000000100000000000000000000000000000100000000000000000000000000001100000000000000000000000000001000000000000000000000000001000000000000000000000001000000000000000000000000010000000000000000000000011000000000000000000000001000001000000000000000100000000000000000100000001000000000000000000000000000000010000000000000000010000100000000000110000000000000000000000000000000000000000000000000000000000000100000010010000000100000000000000000100000000000000010000001001000000110"
7 575 "100000000000000000000000000000000100000000000000000000000000000001000000000000000000000000000000100000000000000000000000000000100000000000000000000000000000100000000000000000000000000100000000000000000000000000100000000000000000000000000100000000000000000000000100000000000000000000000100000000000000000000001000000000000000000000000000001000000000000010000000000000000000100000000000000000010000000000000000100000000000000001000000000000000100000000000000100000000000001000000000000100000000000100000000001000000000100000000100000001000000100000100001100010010"
8 233 "100000000000000000000000000000000100000000000000000000000000000001000000000000000000000000000000100000000000000000000000000000100000000000000000000000000001000000000000000000000000000100000000000000000000000000100000000000000000000000000100000000000000000000000100000000000000000000000100000000000000000000001000000000000000000000100000001000000000000110000000000000000000000000000000000000100000000000000000110000000000000000100000000000000010000000000000000000000000000000000000000101000000000100000000000000000000100000000100000001000000100000100001100000110"
9 314 "100000000000000000000000000000000000100000000000000000000000000000100000000000000000000000000000100000000000000000000000000000010000000000000000000000000000100000000000000000000000000010000000000000000000000000001000000000000000000000001000100000000000000000000100000000000000000000000000000010000000000000001000000000000000000000100000000000000000000000001000000000000000100000000000000000100000000000000000100000000000000001000000000000000001000000000000101000000000000000000000000000001000000110000000000100000000010000000001000000010000001000000000000110001"
10 123 "100000000000000000000000000000000100000000000000000000000000000001000000000000000000000000000000100000000000000000000000000000010000000000000000000000000001000000000000000000000000000100000000000000000000000000100000000010000000000000001000000000000000000000000000000010000000000000000100000000000000000000001000000000000000000000100000000000000000000010000000000000000001000000000000000000100000000000000000100000000000000000100000000000000000000001000000110000000000000000000000000100000000000100000000001100000000000000000100000000000000100000100001100000101"
11 547 "100000000000000000000000000000000100000000000000000000000000000001000000000000000000000000000000100000000000000000000000000000010000000000000000000000000001000000000000000000000000000100000000000000000000000000000010000000000000000000000100000000000000000000000100000000000000000000000100000000000000000000001000000000000000000000100000000000000000000100000000000000000001000000000000000000110000000000000000000000000000000001000001000000000100000000000000100000000000001000000000000110000000000000000000000000000000100000000100000001000000101000100000000100110"
12 613 "010000000000000000000000000000000100000000000000000000000000000001000000000000000000000000000000010000000000000000000000000000100000000000000000000000000001000000000000000000000000000000001000000000000000000000100000000000000000000000000100000000000000000000000100000000000000000000000100000000000000000000000100000000000000000000000010000000000000000001000000000000000001000000000000000000010000000000000000010000000000000000100000000000000100000000000000100000000000001000000000000100000000000100100000001000000000100000000000000001000000100000100001000100101"
13 734 "100000000000000000000000000000000010000000000000000000000000000001000000000000000000000000000000100000000000000000000000000000100000000000000000000000000001000000000000000000000000000100000000000000000000000000100000000000000000000000000001000000000000000000000010000000000000000000000100000000000000000000001000000000000000000000100000000000000000000100000000000000000001000000000000000000100100000000000000100000000000000001000000000000000000000000000000100000000000001000100000000100000000000110000000000000000000000000000100000001010000100000000001000100110"
14 711 "100000000000000000000000000000000010000000000000000000000000000001000000000000000000000000000000010000000000000000000000000000100000000000000000000000000001000000000000000000000000000000100000000000000000000000100000000000000000000000001000000000000000000000000100000000000000000000000100000000000000000000001000000000000000000000100000000000000000000010000000000000000001000000000000000000100000000000000000110000000000000000000000000000000100000000000000100000000000001010000000000100000000000000000000001010000000100000000000000001001000110000000000000100101"
15 733 "010000000000000000000000000000000100000000000000000000000000000001000000000000000000000000000000100000000000000000000000000000010000000000000000000000000001000000000000000000000000000000010000000000000000000000100000000000000000000000001000000000000000000000000100000000000000000000000010000000000000000000000001000000000000000000100000000000000000000100000000000000000000000100000000000000000001000000000000100000000000000001000000000000000100000000000000100000000000000100000000000000100000000110000000000000000000100000000100000001000000101000100000000110001"
16 781 "010000000000000000000000000000000010000000000000000000000000000000010000000000000000000000000000100000000000000000000000000000010000000000000000000000000001000000000000000000000000000000100000000000000000000000100000000000000000000000001000000000000000000000000100000000000000000000000100000000000000000000001001000000000000000000100000000000000000000100000000000000000000100000000000000000000000010000000000100000000000000001001000000000000110000000000000000000000000000000000000000100000000000010000000000010000000100000000000000001010000100000000001000100101"
